k,inertia,sil,seed
75,9816.14212158168,0.15434386425797678,121234
76,9761.267866563989,0.15202563197791868,121234
77,9742.65069808376,0.15091644106788032,121234
78,9648.283313298774,0.14894817174392502,121234
79,9627.01646715783,0.14965842084037104,121234
80,9558.321267161076,0.15108960648105074,121234
81,9527.548488082935,0.15250348279097767,121234
82,9504.62581683263,0.15105404531986003,121234
83,9431.547702066227,0.1506783829105077,121234
84,9390.690924259308,0.14994534391858588,121234
85,9312.894856563207,0.15149978438796718,121234
86,9297.61421835031,0.155432180008079,121234
87,9218.458524365926,0.15126778147373057,121234
88,9221.315419902023,0.1494305612382986,121234
89,9174.195737596096,0.15204857092360125,121234
90,9143.859810474947,0.15018601748407068,121234
91,9039.164716355943,0.15085699291032942,121234
92,9051.235273893473,0.14663731891652987,121234
93,8995.563318317034,0.15057807408836016,121234
94,8959.337858780544,0.14921044627174682,121234
95,8934.59391139272,0.14783830994989056,121234
96,8876.850841398515,0.15258924261914078,121234
97,8854.267066808521,0.14772294511511058,121234
98,8825.279045757241,0.14834551662610823,121234
99,8754.578608903877,0.15045458741300663,121234
100,8762.930645254932,0.14961655596197296,121234
20,16648.78646044718,0.17243531195908343,123223
21,16313.115775113289,0.1786395926592465,123223
22,15953.761564549613,0.1745543422901626,123223
23,15799.717113153454,0.17489027689131298,123223
24,15414.285380978843,0.17704428711706915,123223
25,15152.773434522345,0.17472210648306186,123223
26,14991.67518374867,0.17468213881057348,123223
27,14705.427274785961,0.17749995012826228,123223
28,14553.555224727417,0.17543381996379784,123223
29,14338.719678043155,0.1711397747697644,123223
30,14144.265358073466,0.17794281661685618,123223
31,13910.90359980616,0.17560658618429478,123223
32,13787.542111450059,0.16876734714460492,123223
33,13633.427933399473,0.17713751067419478,123223
34,13454.703553437233,0.17768010474658777,123223
35,13305.117688426084,0.1729537100846397,123223
36,13187.097459291617,0.16562394226794344,123223
37,13034.963083929986,0.1682193350475065,123223
38,12859.499812325701,0.17293281376125083,123223
39,12758.047890174503,0.17107589767481662,123223
40,12593.698712477977,0.1663530404023927,123223
41,12503.280141434621,0.1701272258999197,123223
42,12364.453749186201,0.1580817074782864,123223
43,12224.537787151417,0.16635851557774664,123223
44,12165.395489211807,0.16173762690158072,123223
45,12068.710026019022,0.16049970702331728,123223
46,11937.219345513522,0.16317827727747927,123223
47,11823.377673447589,0.16293799225589678,123223
48,11753.95144558485,0.1613023565505973,123223
49,11625.634404962902,0.16319022581691453,123223
50,11523.82080234656,0.1616316445901944,123223
51,11454.438085659,0.16179317718650957,123223
52,11405.220797557882,0.15842677741626088,123223
53,11298.173370096401,0.16019361778761979,123223
54,11210.583186586102,0.15782369358961965,123223
55,11136.4864467945,0.15961398525323772,123223
56,11021.563858222786,0.15961406408490775,123223
57,10979.835079771163,0.15689519793486828,123223
58,10853.466976235182,0.15898420686809975,123223
59,10817.670591641618,0.14835517636869078,123223
60,10706.396927504155,0.15943084709572267,123223
61,10674.48779882391,0.15588799009462206,123223
62,10599.384408317634,0.15637058489482442,123223
63,10555.829013920607,0.1527400197766617,123223
64,10496.163266763746,0.15119372612485138,123223
